,Town,Population,Size
4962,Norwich,197212,Other
4963,Almondsbury,884,Other
4964,Highleigh,314,Other
4965,Higham Ferrers,9015,Other
4966,Sandford,2085,Other
4967,Norton-on-Derwent,8077,Other
4968,Gibraltar,545,Other
4969,Welham Green,3040,Other
4970,Stourbridge,64931,Other
4971,Darfield,515,Other
4972,Westhoughton,23840,Other
4973,Carlton (Suffolk Coastal),600,Other
4974,Felixstowe,24437,Other
4975,Melton Constable,1208,Other
4976,Coldeast,1234,Other
4977,Bromley,328023,Other
4978,Streethouse,1707,Other
4979,Yate,30397,Medium Town
4980,Sutton Abinger,385,Other
4981,Goldthorpe,6186,Other
4982,Whitehaven,23430,Other
4983,Baildon,15806,Other
4984,Shefford,7130,Other
4985,Lees,12776,Other
4986,Clifton (Central Bedfordshire),2656,Other
4987,Steyning,6512,Other
4988,Liddington,424,Other
4989,New Arley,1963,Other
4990,St Margarets,3751,Other
4991,Ightham,2109,Other
4992,Broom,590,Other
4993,Nuneaton,90429,Other
4994,Minchinhampton,3138,Other
4995,Kirby Hill,555,Other
4996,Wisbech,34655,Medium Town
4997,Little Waltham,971,Other
4998,Chatham,80820,Other
4999,Lingfield,3652,Other
5000,Great Eccleston,1252,Other
5001,Dukinfield,21310,Other
5002,Winchelsea,521,Other
5003,Bolingey,324,Other
5004,Falmouth,23957,Other
5005,Springwell,2184,Other
5006,Copmanthorpe,3656,Other
5007,How Wood,6958,Other
5008,Bugle,2417,Other
5009,Farnworth,28384,Medium Town
5010,Grassmoor,3377,Other
5011,Sutton Weaver,492,Other
5012,Sawbridgeworth,10579,Other
5013,Lower Shiplake,1453,Other
5014,Higham on the Hill,982,Other
5015,Whitstable,33236,Medium Town
5016,Burley Street,399,Other
5017,Cleckheaton,11983,Other
5018,Halesowen,59669,Medium Town
5019,Nailsea,15936,Other
5020,Haringey,268647,Other
5021,Edenfield,2100,Other
5022,Farndon (Newark and Sherwood),2406,Other
5023,Ashford (Spelthorne),28862,Medium Town
5024,Ashurst,3195,Other
5025,Sutton Coldfield,107531,Other
5026,Hughenden Valley,1872,Other
5027,Northwood,5796,Other
5028,Manchester,563561,Other
5029,Narborough/Enderby,14096,Other
5030,Brize Norton,685,Other
5031,Begbroke,757,Other
5032,Great Notley,7845,Other
5033,North Wingfield,9527,Other
5034,Sutton Courtenay,2890,Other
5035,Matlock Bath,673,Other
5036,Maresfield,1417,Other
5037,St Eval,870,Other
5038,Snaith,3027,Other
5039,Hardwick Wood,262,Other
5040,Burnley,83364,Other
5041,Soham,10455,Other
5042,Eldon Lane,1005,Other
5043,Wolviston,830,Other
5044,Hatfield,45390,Medium Town
5045,Griffydam,330,Other
5046,Callington,4745,Other
5047,West Hanney,618,Other
5048,Bristol International Airport,136,Other
5049,Burnham-on-Sea,23948,Other
5050,Ingatestone,5565,Other
5051,Broad Oak (Canterbury),840,Other
5052,Bingley,22740,Other
5053,Marlow Bottom,3277,Other
5054,Great Gransden,947,Other
5055,Blackwater,7343,Other
5056,Crosby,50193,Medium Town
5057,Whitehill,1608,Other
5058,Sandown,12074,Other
5059,Water,822,Other
5060,Dunswell,477,Other
5061,Frating Green,274,Other
5062,Buckland,297,Other
5063,Osgodby,867,Other
5064,Havering's Grove,366,Other
5065,Hessle,14706,Other
5066,Heydon,225,Other
5067,Rudgwick,2065,Other
5068,Mappleborough Green,383,Other
5069,Horbling,490,Other
5070,Bishop Auckland,25433,Medium Town
5071,Immingham,11158,Other
5072,Leadgate,4211,Other
5073,Clifford,1320,Other
5074,Siddington,850,Other
5075,Leysdown-on-Sea,920,Other
5076,Rhodes,3008,Other
5077,Downham,341,Other
5078,South Ferriby,651,Other
5079,Kelsall,2733,Other
5080,Bootle,52835,Medium Town
5081,Stenalees,768,Other
5082,Lower Upham,433,Other
5083,Alverstone Garden Village,483,Other
5084,Dormans Park,746,Other
5085,Blackhall Colliery,4547,Other
5086,Ruardean,1226,Other
5087,Threemilestone,2840,Other
5088,City of Westminster,260591,Other
5089,Tutbury,3426,Other
5090,Cosby,3511,Other
5091,Brough,13498,Other
5092,Ouston,5139,Other
5093,Polegate,10806,Other
5094,Curridge,388,Other
5095,Haworth,6259,Other
5096,Hurley,711,Other
5097,Ryarsh,330,Other
5098,Gamesley,3297,Other
5099,Northill,342,Other
5100,Pirbright,976,Other
5101,Yorkletts,439,Other
5102,Chirk Bank,564,Other
5103,Islip,829,Other
5104,Great Wyrley,18467,Other
5105,Thrapston,6752,Other
5106,Lympne,1427,Other
5107,Broadstairs,24517,Other
5108,Manton,300,Other
5109,Banstead,10643,Other
5110,West Wellow,1772,Other
5111,Cheadle,14077,Other
5112,Waltham,5795,Other
5113,Holton,517,Other
5114,Rawtenstall,24519,Other
5115,Houghton Regis,18700,Other
5116,Rowley Regis,35791,Medium Town
5117,Workington,22406,Other
5118,Chipping Sodbury,4671,Other
5119,Ashmore Green,805,Other
5120,Runcton,654,Other
5121,Betley,657,Other
5122,Billingham,34169,Medium Town
5123,Norton Fitzwarren,3050,Other
5124,Hebburn,20589,Other
5125,Midsomer Norton,13882,Other
5126,Eye (Mid Suffolk),2361,Other
5127,Brent,330021,Other
5128,Millhouse Green,1262,Other
5129,Higham,2609,Other
5130,Aldridge,39466,Medium Town
5131,Kimberley,11736,Other
5132,Macclesfield,56366,Medium Town
5133,Windsor,32640,Medium Town
5134,Smallford,336,Other
5135,Henlow,2502,Other
5136,Fernhurst,1834,Other
5137,Walkden,22356,Other
5138,Broad Blunsdon,1549,Other
5139,Darlaston,20995,Other
5140,Pondwell,211,Other
5141,New Houghton,1441,Other
5142,Heage,2731,Other
5143,Whitburn,5208,Other
5144,Leekbrook,447,Other
5145,Burton Latimer,9778,Other
5146,East Keswick,1126,Other
5147,Hucknall,35797,Medium Town
5148,Crich,1804,Other
5149,Stoborough Green,893,Other
5150,Oldbury (Sandwell),25740,Medium Town
5151,Maypole,2078,Other
5152,Dodworth,6124,Other
5153,Porton,885,Other
5154,Heskin Green,399,Other
5155,New Gate,303,Other
5156,Lanner,2417,Other
5157,Glapwell,1589,Other
5158,Eversley,390,Other
5159,Bearpark,2152,Other
5160,Stalybridge,27081,Medium Town
5161,Stapleford,16585,Other
5162,Felton,645,Other
5163,Moorends,5545,Other
5164,North Ferriby,3647,Other
5165,Headley Down,5081,Other
5166,Bury St Edmunds,41554,Medium Town
5167,Duporth,661,Other
5168,Odiham,2401,Other
5169,Willaston,2340,Other
5170,Nounsley,680,Other
5171,Romsey,17691,Other
5172,Rotherfield,1253,Other
5173,Caterham,23511,Other
5174,Teversham,915,Other
5175,Thatcham,26135,Medium Town
5176,Sheringham,7365,Other
5177,Carterton,16938,Other
5178,Newstead,2502,Other
5179,Holbeach Drove,340,Other
5180,Badshot Lea,1567,Other
5181,Eastbourne,114809,Other
5182,Darwen,27311,Medium Town
5183,Withnoe,1292,Other
5184,Shaw (Wiltshire),672,Other
5185,Welwyn,4042,Other
5186,Horbury,10567,Other
5187,Whatton-in-the-Vale,664,Other
5188,Stanbridge,756,Other
5189,Byram,1451,Other
5190,Braintree,43552,Medium Town
5191,Bawtry,3539,Other
5192,Fornham St Martin,956,Other
5193,Great Casterton,557,Other
5194,Carlton (Gedling),50815,Medium Town
5195,Stratton,2272,Other
5196,Woodside,493,Other
5197,Fiskerton,776,Other
5198,Hunger Hill,1298,Other
5199,Wallingford,8232,Other
5200,Swaffham Bulbeck,276,Other
5201,Bouldnor,352,Other
5202,Horsham,51265,Medium Town
5203,Partridge Green,1938,Other
5204,Briston,2052,Other
5205,South Littleton,1173,Other
5206,Horsham St Faith,1089,Other
5207,Coalpit Heath,186,Other
5208,Bacup,14261,Other
5209,Stanborough,340,Other
5210,Tyldesley,16640,Other
5211,Castleford,43625,Medium Town
5212,Parton,888,Other
5213,Hampton in Arden,1803,Other
5214,Woodingdean,9851,Other
5215,Billingborough,1427,Other
5216,Heywood,30323,Medium Town
5217,Landbeach,599,Other
5218,Bramhall,17254,Other
5219,Dullingham,803,Other
5220,Lenham Heath,241,Other
5221,West Hythe,442,Other
5222,Hextable,4081,Other
5223,Hartley (Sevenoaks),16095,Other
5224,Thurnscoe,9090,Other
5225,Woldingham,1222,Other
5226,Radstock,10185,Other
5227,Yalding,1366,Other
5228,Gunness,775,Other
5229,Symonds Yat West,263,Other
5230,Crawley,112198,Other
5231,Worsbrough,9247,Other
5232,Littlehampton,59171,Medium Town
5233,Tower Hill,340,Other
5234,Goole,22574,Other
5235,Ide,553,Other
5236,Kewstoke,886,Other
5237,Nettlestone,1908,Other
5238,Little Gransden,290,Other
5239,Mexborough,15570,Other
5240,Threshfield,649,Other
5241,East Wittering,5734,Other
5242,Chichester,31730,Medium Town
5243,Littlethorpe,1781,Other
5244,Delph,2305,Other
5245,Sturry,5371,Other
5246,Otterbourne,1274,Other
5247,Borough Green,5229,Other
5248,Stoneyhills,712,Other
5249,Cromer,8014,Other
5250,Ewell,54816,Medium Town
5251,Upham,351,Other
5252,Sowerby Bridge,4614,Other
5253,Moor Park,411,Other
5254,Chivenor Airfield,2383,Other
5255,High Ackworth,754,Other
5256,Charlton Adam,696,Other
5257,Throckley,5821,Other
5258,Ellington,2424,Other
5259,Wormley,1485,Other
5260,Penryn,10499,Other
5261,Borehamwood,37958,Medium Town
5262,Dedham Heath,303,Other
5263,Leigh Woods,620,Other
5264,Littleworth,302,Other
5265,Edith Weston,687,Other
5266,Hyde (New Forest),535,Other
5267,South Earlswood,4559,Other
5268,Royton,22992,Other
5269,Kibworth Harcourt,6910,Other
5270,Thornton (Bradford),5255,Other
5271,Pinvin,603,Other
5272,Cawston,3046,Other
5273,Shipley,28779,Medium Town
5274,Shorne Ridgeway,1056,Other
5275,Terry's Green,339,Other
5276,Droylsden,24519,Other
5277,Thorne,12114,Other
5278,Felcourt,596,Other
5279,Buckfast,290,Other
5280,Kingsley Green,301,Other
5281,Stake Pool,817,Other
5282,Shireoaks,1442,Other
5283,Stetchworth,668,Other
5284,Wharncliffe Side,1408,Other
5285,Ruardean Woodside,603,Other
5286,Westonzoyland,1720,Other
5287,Banbury,47447,Medium Town
5288,West Parley,353,Other
5289,Aslockton,1191,Other
5290,Carr Hall,1160,Other
5291,Whitley,1850,Other
5292,Swallowfield,671,Other
5293,Earlswood,662,Other
5294,Baker's Wood,991,Other
5295,Sevenoaks,32120,Medium Town
5296,Bollington,7691,Other
5297,Bitterscote,378,Other
5298,Shevington,5247,Other
5299,Blackburn,120932,Other
5300,City of London,9483,Other
5301,Tilsworth,387,Other
5302,Kempston,21131,Other
5303,Cirencester,17055,Other
5304,Broad Oak (Rother),879,Other
5305,Westhumble,595,Other
5306,Chobham,2884,Other
5307,Colney,193,Other
5308,East Runton,863,Other
5309,Hyde Lea,692,Other
5310,Whetstone,14212,Other
5311,Barlby,3225,Other
5312,Pirbright Camp,2672,Other
5313,Hemingbrough,1919,Other
5314,Brighouse,33874,Medium Town
5315,Shotton Colliery,4985,Other
5316,Walton Highway,1044,Other
5317,Nelson (Pendle),31722,Medium Town
5318,Whitefield,21290,Other
5319,Topsham,3994,Other
5320,Truro,22623,Other
5321,Arnold,39495,Medium Town
5322,Stamford,20649,Other
5323,Broseley,5363,Other
5324,Crays Hill,331,Other
5325,Commercial End,520,Other
5326,Boroughbridge,3976,Other
5327,Taunton,63833,Other
5328,Temple Cloud,1450,Other
5329,Ashton-under-Lyne,47826,Medium Town
5330,High Clarence,726,Other
5331,Eckington,7439,Other
5332,Marsh Lane,844,Other
5333,Broad Campden,258,Other
5334,South Stoke,538,Other
5335,New Mills,12773,Other
5336,Bembridge,3665,Other
5337,Bournmoor,2003,Other
5338,Great Gonerby,1904,Other
5339,Oaklands,8169,Other
5340,Knockholt Pound,926,Other
5341,Great Doddington,1147,Other
5342,Gedney Hill,767,Other
5343,Poole,159449,Other
5344,Eccleston,4684,Other
5345,Windermere,5006,Other
5346,Ackworth Moor Top,6114,Other
5347,Harden,1507,Other
5348,Arborfield Cross,761,Other
5349,Harrowbarrow,669,Other
5350,Craghead,909,Other
5351,Brayton,3823,Other
5352,Brightwell-cum-Sotwell,1200,Other
5353,Rushden,32372,Medium Town
5354,Fradley South,2626,Other
5355,Alsager,14120,Other
5356,Oswaldtwistle,11443,Other
5357,Doe Lea,970,Other
5358,Linford,868,Other
5359,Horndean,49381,Medium Town
5360,Martlesham,1490,Other
5361,Bodicote,3771,Other
5362,Sandleheath,1575,Other
5363,Monkton Heathfield,2088,Other
5364,Great Preston,1656,Other
5365,Tatling End,332,Other
5366,Bramley Park,489,Other
5367,Preston (East Riding of Yorkshire),2146,Other
5368,Thorpe End,1189,Other
5369,Frogham,294,Other
5370,Southwick,12028,Other
5371,Bathpool,906,Other
5372,Dartmouth,4912,Other
5373,Lee Common,351,Other
5374,Coseley,23286,Other
5375,Blackminster,166,Other
5376,Christchurch,56779,Medium Town
5377,Tyrrell's Wood,128,Other
5378,Loggerheads,2849,Other
5379,Salfords,1539,Other
5380,Hammersmith and Fulham,185314,Other
5381,Box,1260,Other
5382,Birkenhead,145775,Other
5383,Fulwood,35917,Medium Town
5384,Great Yarmouth,41138,Medium Town
5385,Easebourne,1797,Other
5386,Scholes,2346,Other
5387,Ebford,480,Other
5388,Hampton Lovett,314,Other
5389,Ingleby Barwick,22491,Other
5390,Poyle,3889,Other
5391,Breaston,7691,Other
5392,Monkton,782,Other
5393,Costessey,2573,Other
5394,North Hykeham,17365,Other
5395,Eversley Centre,725,Other
5396,Finstock,796,Other
5397,Wivelsfield,344,Other
5398,Rowly,729,Other
5399,Hattersley,5667,Other
5400,Merton,206548,Other
5401,Fairfield,1489,Other
5402,Rushmere St Andrew,672,Other
5403,The Bank,640,Other
5404,West Cowick,329,Other
5405,Saxmundham,4622,Other
5406,Camden,269938,Other
5407,Barton Mills,632,Other
5408,Winford,1055,Other
5409,Rearsby,1199,Other
5410,Wivenhoe,7949,Other
5411,West Knighton,724,Other
5412,Upper Beeding,3155,Other
5413,Didcot,29922,Medium Town
5414,Birchanger,676,Other
5415,Chadwell St Mary,10356,Other
5416,Chilsworthy,300,Other
5417,Waltham Cross,10910,Other
5418,Eastwood,19231,Other
5419,Rosudgeon,507,Other
5420,Bordon,15708,Other
5421,Camborne,22630,Other
5422,Little Abington,506,Other
5423,Blackheath,6523,Other
5424,Taverham,15512,Other
5425,Wood End,334,Other
5426,Little Lever,12444,Other
5427,Moor End,293,Other
5428,Potters Corner,617,Other
5429,Atherton,73130,Other
5430,Lane End,3048,Other
5431,Withnell,886,Other
5432,West Hill,343,Other
5433,St Ives,17018,Other
5434,Powick,400,Other
5435,Stonebroom,3576,Other
5436,Birchall,629,Other
5437,Pill,4867,Other
5438,Marlborough,8233,Other
5439,Hambledon,281,Other
5440,Hertford,29303,Medium Town
5441,Whelpley Hill,304,Other
5442,West Bridgford,48856,Medium Town
5443,Bletchley,39220,Medium Town
5444,Binley Woods,2466,Other
5445,Berkhamsted,21719,Other
5446,Sharlston,2413,Other
5447,Knaresborough,15442,Other
5448,Cumnor,863,Other
5449,Willenhall,53334,Medium Town
5450,Eton,2245,Other
5451,Helston,11698,Other
5452,Cutthorpe,495,Other
5453,Cleehill,949,Other
5454,Bulkington,6096,Other
5455,Eversley Cross,592,Other
5456,Wilsden,3758,Other
5457,Cranbrook,3870,Other
5458,Yaxley,618,Other
5459,Paley Street,423,Other
5460,East Morton,1138,Other
5461,Kelvedon,4782,Other
5462,Alsagers Bank,1181,Other
5463,Biggin Hill,2340,Other
5464,Ramsgate,42040,Medium Town
5465,Adlington,10235,Other
5466,Kippax,9692,Other
5467,Penzance,16296,Other
5468,Hammerwich,694,Other
5469,Ford,1116,Other
5470,Marks Tey,2523,Other
5471,Sheffield,552143,Other
5472,Hellaby,767,Other
5473,Cheadle Hulme,25394,Medium Town
5474,Radcliffe,31844,Medium Town
5475,Coalville,37300,Medium Town
5476,Stoke Mandeville,2914,Other
5477,Kingswear,450,Other
5478,Riseley,620,Other
5479,Garstang,7046,Other
5480,Cromford,1414,Other
5481,Tipton,45283,Medium Town
5482,Wythall,2420,Other
5483,Piddington,389,Other
5484,Burstow,268,Other
5485,Kingston upon Thames,181475,Other
5486,Woolsington,308,Other
5487,Stoke sub Hamdon,1632,Other
5488,Parbold,2578,Other
5489,Taplow,630,Other
5490,South Petherton,3084,Other
5491,Bridlington,35264,Medium Town
5492,Aspley Heath,615,Other
5493,Litherland,18902,Other
5494,Kirkham,13418,Other
5495,Major's Green,963,Other
5496,Rudby,416,Other
5497,Catterall,2651,Other
5498,Austerfield,549,Other
5499,Holymoorside,1425,Other
5500,Waresley,1534,Other
5501,Upper Farringdon,364,Other
5502,Barnsley,98924,Other
5503,Platt Bridge,10773,Other
5504,Luton,221502,Other
5505,Wath upon Dearne,36318,Medium Town
5506,Quorn (Quorndon),5974,Other
5507,Cold Ash,1771,Other
5508,Catcliffe,2568,Other
5509,Styal,456,Other
5510,Burscough,8952,Other
5511,Dursley,15952,Other
5512,Desford,3619,Other
5513,Greatham,461,Other
5514,Hackney,280489,Other
5515,Horsley,809,Other
5516,Harrogate,74152,Other
5517,Godalming,23687,Other
5518,Deepcut,2337,Other
5519,Enfield,329372,Other
5520,Kingsteignton,11363,Other
5521,Shrivenham,2814,Other
5522,Yapton,4872,Other
5523,Seer Green,2987,Other
5524,Rolleston on Dove,2874,Other
5525,Lower Pilsley,1358,Other
5526,Bebington,58427,Medium Town
5527,East Cowes,7572,Other
5528,Frampton Cotterell/Winterbourne,15230,Other
5529,St Ann's Chapel,925,Other
5530,Robin Hood,3563,Other
5531,Cringleford,4776,Other
5532,Norton sub Hamdon,692,Other
5533,Long Eaton,39387,Medium Town
5534,West Bromwich (East),20073,Other
5535,Bidford-on-Avon,5342,Other
5536,Bolton Upon Dearne,6845,Other
5537,Fritchley,532,Other
5538,Lytham St Anne's,44464,Medium Town
5539,Wellington,12924,Other
5540,Shavington,4121,Other
5541,Ickwell,293,Other
5542,Failsworth,18843,Other
5543,Skelmanthorpe,4746,Other
5544,Warton,1768,Other
5545,Haslingden,16560,Other
5546,Grimsargh,2479,Other
5547,Colyford,615,Other
5548,Heysham,16704,Other
5549,Hordle,1452,Other
5550,Chickerell,3372,Other
5551,Wetheral,1062,Other
5552,Cleethorpes,38562,Medium Town
5553,Walton-on-Thames,69213,Other
5554,Pudsey,33766,Medium Town
5555,Grayshott,7234,Other
5556,Brigsley,375,Other
5557,Culdrose Airfield,1024,Other
5558,Oldbury (Shropshire),360,Other
5559,Todwick,1682,Other
5560,Launton,1339,Other
5561,Smeeton Westerby,349,Other
5562,Cross in Hand,793,Other
5563,Chilham,458,Other
5564,Altham,385,Other
5565,Cackle Street,577,Other
5566,Middleyard,630,Other
5567,Keevil,451,Other
5568,Pontefract,31280,Medium Town
5569,Stretford,27574,Medium Town
5570,Menston,4322,Other
5571,Summit,1673,Other
5572,Collingtree,689,Other
5573,Winchelsea Beach,923,Other
5574,Brinscall,1427,Other
5575,Boston Spa,5011,Other
5576,Barnet,398505,Other
5577,Teignmouth,15671,Other
5578,Trawden,1962,Other
5579,Ickleford,1835,Other
5580,Crewe,74949,Other
5581,West Walton,662,Other
5582,Gravesend,58640,Medium Town
5583,Rowlands Castle,2651,Other
5584,Hatfield Peverel,3189,Other
5585,Frimley,19385,Other
5586,Saham Toney,1550,Other
5587,Palgrave,937,Other
5588,Tye Green (Colchester),474,Other
5589,Sutton Lane Ends,904,Other
5590,Blackrod,4686,Other
5591,Ashingdon,365,Other
5592,East Ogwell,876,Other
5593,Wraysbury,7569,Other
5594,Feock,515,Other
5595,Newton Abbot,27153,Medium Town
5596,Morecambe,33848,Medium Town
5597,Aston,530,Other
5598,Wheatley,4167,Other
5599,Sileby,9673,Other
5600,Grove,1078,Other
5601,Cleveleys,10740,Other
5602,Witherley,643,Other
5603,Coalway,3185,Other
5604,Penpol,541,Other
5605,Paulton,6252,Other
5606,Stakeford,8315,Other
5607,Bowgreave,486,Other
5608,East Tilbury,5484,Other
5609,Yateley,14409,Other
5610,Stonehouse,7341,Other
5611,Linton,2028,Other
5612,Colney Heath,1382,Other
5613,Armthorpe,14405,Other
5614,Fen Ditton,737,Other
5615,Stainforth,6657,Other
5616,Thorpe Hesley,4318,Other
5617,Southwark,318830,Other
5618,Tower Hamlets,324677,Other
5619,Hutton,2063,Other
5620,Beeston Regis,774,Other
5621,Dedham,827,Other
5622,Worthington,1333,Other
5623,Low Ackworth,925,Other
5624,Ickburgh,349,Other
5625,Keighley,53538,Medium Town
5626,Burnham-on-Crouch,7078,Other
5627,Middlestown,2456,Other
5628,East Hendred,1362,Other
5629,Longsdon,297,Other
5630,Selston,6989,Other
5631,Bexley,307493,Other
5632,Fornham All Saints,927,Other
5633,Charnock Richard,1099,Other
5634,Havant,47896,Medium Town
5635,Golborne,24314,Other
5636,Hardington Moor,278,Other
5637,Cheshunt,47124,Medium Town
5638,Sacriston,4839,Other
5639,Shaw (Oldham),18349,Other
5640,Newhey,3012,Other
5641,Blofield,2353,Other
5642,Earl Shilton,20116,Other
5643,Leverington,1026,Other
5644,Natland,531,Other
5645,South Harefield,1796,Other
5646,Shanklin,9202,Other
5647,Catherington,379,Other
5648,Harrow,250845,Other
5649,Whitnash,7899,Other
5650,Wilden,505,Other
5651,Woldingham Garden Village,307,Other
5652,Hythe,15544,Other
5653,Down Field,667,Other
5654,Mossley,11334,Other
5655,Maltby,16328,Other
5656,Totton,29421,Medium Town
5657,Berry Hill,2377,Other
5658,Portslade-by-Sea,20150,Other
5659,Wothorpe,311,Other
5660,Old Hunstanton,545,Other
5661,Cross Hills,7967,Other
5662,West Hoathly,684,Other
5663,Pilling,868,Other
5664,Ellistown,2852,Other
5665,Theale,2924,Other
5666,Lingfield Common,416,Other
5667,West Kirby,14875,Other
5668,Blaydon,14693,Other
5669,Killamarsh,9336,Other
5670,Southwold,960,Other
5671,Milnrow,10370,Other
5672,Bishop's Cleeve,16292,Other
5673,Strumpshaw,230,Other
5674,Burringham,701,Other
5675,Lesbury,326,Other
5676,Ringwood,14369,Other
5677,North Warnborough,1083,Other
5678,Lower Weare,311,Other
5679,Dorking,17616,Other
5680,Rawmarsh,19161,Other
5681,Stoke St Gregory,302,Other
5682,Felsted,1329,Other
5683,Addington,557,Other
5684,Barrowford,5294,Other
5685,Bournemouth,197383,Other
5686,Kearsley,11119,Other
5687,Combe St Nicholas,705,Other
5688,Ashford (Ashford),75262,Other
5689,Great Abington,694,Other
5690,Waltham Forest,276532,Other
5691,Southborough,11225,Other
5692,Welwyn Garden City,51357,Medium Town
5693,Chalfont St Giles,4998,Other
5694,Cowes,14705,Other
5695,Horam,1984,Other
5696,Cudworth,12774,Other
5697,Sandiacre,10058,Other
5698,Doncaster,116834,Other
5699,Selby,19809,Other
5700,Hartlepool,90074,Other
5701,Wickford,34857,Medium Town
5702,Wyboston,591,Other
5703,Broomhall/Windlesham/Virginia Water,24948,Other
5704,Eastleigh,83470,Other
5705,Birmingham,1160254,Other
5706,Kettering,60749,Other
5707,Headley,474,Other
5708,Winterbourne Gunner,1116,Other
5709,Shedfield,883,Other
5710,Lymington,16148,Other
5711,Walter's Ash,3684,Other
5712,Redbridge,320024,Other
5713,Churt,974,Other
5714,Royston,10640,Other
5715,Diss,10987,Other
5716,Goring,3335,Other
5717,Longton,8964,Other
5718,Newcastle upon Tyne,287535,Other
5719,Esher,52286,Medium Town
5720,Ryton,16497,Other
5721,Rochdale,113893,Other
5722,St Albans,87749,Other
5723,Bardsey,1882,Other
5724,North Walney,9869,Other
5725,Kiveton Park,7190,Other
5726,Catshill,10741,Other
5727,Swannington,1071,Other
5728,Queenborough,3778,Other
5729,Canterbury,63637,Other
5730,Normanton,22085,Other
5731,Folkestone,53949,Medium Town
5732,Badsey,2797,Other
5733,St Neots,32657,Medium Town
5734,Fareham,43549,Medium Town
5735,Sunderland,174807,Other
5736,Ripley,19911,Other
5737,Farnham,27386,Medium Town
5738,Bolton,205411,Other
5739,Guildford,86611,Other
5740,Northampton,230031,Other
5741,Heanor,27092,Medium Town
5742,Burntwood,28831,Medium Town
5743,Carrington,470,Other
5744,Abingdon,39654,Medium Town
5745,Keadby,1522,Other
5746,Stanton-by-Dale,442,Other
5747,Worsley,9095,Other
5748,Gloucestershire Airport,273,Other
5749,High Wycombe,123813,Other
5750,Bradford,366187,Other
5751,Blackwell,1765,Other
5752,East Grinstead,30664,Medium Town
5753,Brownhills,21217,Other
5754,Atherstone,11598,Other
5755,Burton upon Trent,77536,Other
5756,Bamber Bridge,68641,Other
5757,Wilmslow,37670,Medium Town
5758,Gloucester,147509,Other
5759,Otley,14257,Other
5760,Bushey,27278,Medium Town
5761,Gateshead,122249,Other
5762,Newport Pagnell,14755,Other
5763,Ilkeston,39605,Medium Town
5764,Newton-le-Willows,24848,Other
5765,Bartley,2360,Other
5766,Tilbury,14121,Other
5767,Droitwich,24179,Other
5768,Mountsorrel,13868,Other
5769,Chesterfield,89469,Other
5770,Bovingdon,5255,Other
5771,Billericay,34987,Medium Town
5772,Crawley Down,5087,Other
5773,Bideford,19926,Other
5774,Wendover,8186,Other
5775,Jarrow,43218,Medium Town
5776,Southampton,269750,Other
5777,Tamworth,73957,Other
5778,Newbury,42109,Medium Town
5779,Hale (Trafford),17493,Other
5780,Weymouth,55279,Medium Town
5781,Bracknell,85067,Other
5782,Burley,931,Other
5783,Cinderford,11376,Other
5784,Cookham,5018,Other
5785,Ferndown,27647,Medium Town
5786,Little Clacton,2888,Other
5787,Cannock,70724,Other
5788,Royal Tunbridge Wells,61284,Other
5789,Preston,99760,Other
5790,Oldham,108606,Other
5791,Mildenhall,15649,Other
5792,Stoke-on-Trent,278137,Other
5793,Town Row,634,Other
5794,Hillingdon,313197,Other
5795,Accrington,36534,Medium Town
5796,Bedford,93378,Other
5797,Peterlee,26665,Medium Town
5798,Stoneyford,531,Other
5799,Exeter,125819,Other
5800,Bristol,577246,Other
5801,Congresbury,3001,Other
5802,Corby,61740,Other
5803,Reigate,23649,Other
5804,Limpley Stoke,729,Other
5805,Stourport-on-Severn,20591,Other
5806,Prudhoe,11047,Other
5807,Hastings,93539,Other
5808,Audley,3211,Other
5809,Stockport,111694,Other
5810,Harefield,4903,Other
5811,Rugby,76419,Other
5812,Four Marks,6299,Other
5813,Ambergate,1648,Other
5814,Havering,257425,Other
5815,Marlow,14908,Other
5816,Newburn,2435,Other
5817,Aylesbury,88950,Other
5818,Solihull,127898,Other
5819,Dunball,392,Other
5820,Ipswich,148742,Other
5821,Liversedge,18092,Other
5822,Penistone,10936,Other
5823,Basildon,117681,Other
5824,Offenham,1568,Other
5825,Worksop,43613,Medium Town
5826,Chertsey,15104,Other
5827,Chelmsford,118759,Other
5828,Worden,7721,Other
5829,Standish,14160,Other
5830,Fazeley,7762,Other
5831,Andover,46906,Medium Town
5832,Watton,9777,Other
5833,Hounslow,271834,Other
5834,Warlingham,9744,Other
5835,Drybrook,2590,Other
5836,Wingerworth,6337,Other
5837,Woking,107854,Other
5838,Chesham,23902,Other
5839,North Mundham,369,Other
5840,Woodley,38506,Medium Town
5841,Yeadon,19190,Other
5842,Clay Cross,13382,Other
5843,Charing Heath,490,Other
5844,Runcorn,62326,Other
5845,Wellingborough,53165,Medium Town
5846,Telford,152222,Other
5847,Ditton,27566,Medium Town
5848,East Wellow,605,Other
5849,Domewood,1241,Other
5850,Egham,29539,Medium Town
5851,Portsmouth,248929,Other
5852,Wolverhampton,220873,Other
5853,Staines,26808,Medium Town
5854,Torquay,51339,Medium Town
5855,Nottingham,315987,Other
5856,Rockwell Green,2886,Other
5857,Paignton,67179,Other
5858,Gomeldon,605,Other
5859,Grimsby,88323,Other
5860,West Hallam,6033,Other
5861,Weston-Super-Mare,88485,Other
5862,Beeston (Broxtowe),54131,Medium Town
